carry-on	বহন অন
carry	বহন
carrot	গাজর
carrier	বাহক
carriage	বহন
car-pool	গাড়ী - পুল
car pool	গাড়ী পুল
carpeting	কার্পেটে আবরণ
carpeted	carpeted
carpet	গালিচা
carpentry	তক্ষণ
carpenter	সূত্রধর
carp	দোষারোপ করা
carousel	carousel
carouse	মদ্যপানোত্সব
carol	সংকীর্তন
carnivorous	মাংসাশী
carnivore	মাংসাশী
carnival	কার্নিভালের
carnation	গোলাপী পাতলবর্ণ
carnal	জাগতিক
carnage	হত্যাকাণ্ড
carjacking	carjacking
carjacker	carjacker
caring	যত্নশীল
caricature	ব্যঙ্গচিত্র
caribou	Caribou
Caribbean	ক্যারিবিয়ান
cargo	জাহাজী মাল
caretaker	তত্ত্বাবধায়ক
caress	আদর
carelessness	অসতর্কতা
carelessly	অগোছালভাবে
careless	অসাবধান
carefulness	সাবধানতার
carefully	সাবধানে
careful	সাবধান
carefree	ভাবনাহীন
career	পেশা
careen	ক্যারীন
care	যত্ন
cards	কার্ড
cardiology	হৃদ্বিজ্ঞান
cardinal number	অঙ্কবাচক সংখ্যা
cardinal	অঙ্কবাচক
cardigan	পশমী গেঁজী
cardiac arrest	কার্ডিয়াক অ্যারেস্ট
cardiac	কার্ডিয়াক
card catalog	কার্ড ক্যাটালগ
cardboard	পিচবোর্ড
card	কার্ড
carcass	দেহমাত্র
carburetor	অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র
carbon paper	কারবন্ কাগজ
carbon monoxide	জ্বলন্ত অঙ্গার হইতে নির্গত বিষাক্ত গ্যাসবিশেষ
carbon dioxide	কার্বন ডাই অক্সাইড
carbon copy	কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি
carbonated	কার্বনেটেড
carbon	কারবন
carbohydrate	কার্বোহাইড্রেট
caravan	ভ্রমণকারী মরূযাত্রিদল
carat	ক্যারেট
caramel	আঠাল মিঠাই
car	গাড়ী
capture	গ্রেপ্তার
captor	বন্দিকারী
captivity	বন্দিদশা
captive	বন্দী
captivating	চিত্তাকর্ষক
captivate	মাত করা
caption	ক্যাপশন
captain	অধিনায়ক
capsule	ক্যাপসুল
capsize	উলটান
Capricorn	মকর
capriciously	খেয়ালখুশিমত
capricious	খামখেয়ালী
caprice	আবদার
cappuccino	কাপাচিনো
capitulation	আত্মসমর্পণ
capitulate	আত্মসমর্পণ করা
capitol	ব্যবস্থাপরিষদ্ভবন
Capitol	ব্যবস্থাপরিষদ্ভবন
capital punishment	মৃতু্যদণ্ড
capital letter	বড় হাতের অক্ষর
capitalize	নিজ সুবিধার্থে প্রয়োগ করা
capitalization	নিজ সুবিধার্থে প্রয়োগ
capitalist	পুঁজিবাদী
capitalism	পুঁজিবাদ
capital	রাজধানী
capillary	কৈশিক
caper	লম্ফ
cape	অন্তরীপ
capacity	ধারণক্ষমতা
capable	সক্ষম
capability	সামর্থ্য
cap	টুপি
canyon	গভীর খাদ
canvass	পট
canvas	ক্যানভাস
Cantonese	ক্যানটোনীজ
canter	স্বচ্ছন্দধাবন
canteen	সেনানিবাসের দোকান
cantankerous	বদমেজাজী
cantaloupe	ফুটি
can't	নারা
canopy	শামিয়ানা
canopied	canopied
canoe	শাল্তি
canny	মিতব্যয়ী
cannot	নারা
cannonball	গোলাগুলি
cannon	কামান
cannibalism	নরমাংসভক্ষণপ্রথা
cannibal	রাক্ষস
cannery	Cannery
canned	রেডিমেড
cannabis	ভাং
canker sore	কীট কালশিটে
canker	কীট
canister	টিন
canine	কুকুরের
cane	বেত
candy bar	ক্যান্ডি বার
candy	মিছরি
candor	অকপটতা
candlestick	পিলসুজ
candlelight	সন্ধ্যাকাল
candle	বাতি
candidly	অকপটে
candidate	প্রার্থী
candidacy	প্রার্থী
candid	স্পষ্টবক্তা
cancer	ক্যান্সার
Cancer	কর্কটরাশি
cancellation	বাতিল
cancel	বাতিল
canary	হলদে
canal	খাল
Canadian	কানাডিয়ান
can	যা করতে পারেন
campus	বিদ্যায়তন
campsite	ক্যাম্পিং সাইট
camping	ক্যাম্পিং
campground	ক্যাম্পের স্থান
camper	ক্যাম্পার
campaigner	প্রবীণ সৈনিক
campaign	প্রচারাভিযান
camp	শিবির
camouflage	ছদ্মবেশ
camerawoman	ক্যামেরা মানুষ
cameraman	আলোকচিত্র-গ্রহণকারী
camera	ক্যামেরা
cameo	খোদাই-করা মূতিযুক্ত মণিবিশেষ
camellia	Camellia
camel	উট
came	আসেন
camcorder	camcorder
camaraderie	সহকর্মীদের মধ্যে অন্তরঙ্গতা ত্ত পরম্পরের প্রতি আস্থা
calves	বাছুরের
calorie	ক্যালোরি
calmness	ধৈর্যশীলতা
calmly	শান্তভাবে
calm	শান্ত
callus	জামুড়া
callousness	নির্মমতা
callously	callously
callous	অনুভূতিহীন
call-in show	কল ইন শো
calling	জীবিকা
calligraphy	লিপিবিদ্যা
call girl	কল মেয়ে
caller	আহ্বানকারী
call	কল
calico	বস্ত্রবিশেষ
calibration	ক্রমাঙ্কন
calibrate	শক্তির পরিমাপ করা
caliber	ধীশক্তি
calf	বাছুর
calendar year	ক্যালেন্ডার বছর
calendar	ক্যালেন্ডার
calculus	পাথুরি
calculator	ক্যালকুলেটর
calculation	হিসাব
calculating	গণক
calculated	গণিত
calculate	গণনা করা
calcium	ক্যালসিয়াম
calamity	প্রমাদ
cake	পিষ্টক
cajole	চুমরান
cahoots	চক্রান্তে লিপ্ত
cagey	সুচতুর
caged	caged
cage	খাঁচা
caffeine	ক্যাফিন
cafeteria	ক্যাফেটেরিয়া
cafe	ক্যাফে
cadre	পদালী
cadet	কনিষ্ঠ পুত্র
cadence	সুরের মুর্ছনা
cadaver	মৃতদেহ
cactus	ফণীমনসা
cacti	cacti
cackle	কক্কক্
cachet	ছাপ
cache	ক্যাশে
caboose	রন্ধনশালা
cable TV	ক্যাবল টিভি
cable car	কেব্লকার
cable	তারের
cabinet	মন্ত্রিসভা
Cabinet	মন্ত্রিসভা
cabin	কেবিন
cabby	গাড়োয়ান
cabbage	বাঁধাকপি
cabaret	সরাই
cab	ঘোড়ার গাড়ি
axle	অক্ষ
axis	অক্ষ
axiomatic	স্বয়ংপ্রমাণিত
axiom	স্বত: সিদ্ধ সত্য
axes	অক্ষ
ax	কুঠার
awry	টেরা
AWOL	AWOL
awoken	awoken
awoke	awoke
awning	শামিয়ানা
awkwardness	জবুথবুভাব
awkwardly	awkwardly
awkward	বিশ্রী
awhile	অল্প সময়ের জন্য
awfully	অতিশয়
awful	ভয়াবহ
awesome	ভয়ঙ্কর
awe-inspiring	আতঙ্ককর
awe	সম্ভ্রম
away	দূরে
awash	ভাসা
awareness	সচেতনতা
aware	সচেতন
award	পুরস্কার
awakening	জাগরণ
awaken	জাগ্রত করা
awake	জাগ্রত
await	প্রতীক্ষা করা
aw	হুম
avowed	স্বীকৃত
avowal	স্বীকার
avow	সত্য বলিয়া ঘোষণা করা
avoidance	পরিহার
avoidable	পরিহার্য
avoid	এড়াতে
avocado	আভাকাডো
avidly	লোভার্তভাবে
avid	ক্ষুধিত
aviator	বিমানচালক
aviation	বিমানচালনা
avert	প্রতিহত করা
aversion	অসাধ
averse	বিমুখ
average	গড়
avenue	বীথিকা
avenge	উসুল করা
Ave.	Ave.
avaricious	ধনলোভী
avarice	অর্থলিপ্সা
avant-garde	সেনাবাহিনীর অগ্রবর্তী দল
avalanche	ধ্বস
available	উপলব্ধ
availability	উপস্থিতি
avail	উপকার
AV	এভি
auxiliary	সহায়ক
autumnal	শারদ
autumn	শরৎ
autoworker	autoworker
autopsy	ময়না
autonomy	স্বায়ত্তশাসন
autonomously	স্বয়ংক্রিয়
autonomous	স্বশাসিত
automotive	স্বয়ংচালিত
automobile	মোটরগাড়ি
automation	স্বয়ংক্রিয়তা
automatically	স্বয়ংক্রিয়ভাবে
automatic	স্বয়ংক্রিয়
automate	স্বয়ংক্রিয় পদ্ধতি প্রয়োগ করা
autograph	স্বহস্তে লেখা
autocratic	স্বৈরাচারী
autocrat	একনায়ক
autocracy	স্বৈরতন্ত্র
autobiography	আত্মজীবনী
autobiographical	আত্মজীবনীসংক্রান্ত
auto	স্বয়ং
autistic	অটিস্টিক
authorship	কৃতি
authorize	ক্ষমতাপ্রদান করা
authorization	অনুমোদন
authority	কর্তৃত্ব
authoritatively	authoritatively
authoritative	প্রামাণিক
authoritarian	ব্যক্তি-স্বাধীনতা অপেক্ষা কর্তৃপক্ষের বশ্যতাস্বীকারের পক্ষপাতী
author	লেখক
authenticity	সত্যতা
authenticate	প্রমাণীকরণ
authentically	প্রকৃত
authentic	খাঁটি
Australian	অস্ট্রেলিয়ান
Australia	অস্ট্রেলিয়া
austerity	কঠোরতা
austere	উগ্র
auspicious	সুপ্রসন্ন
auspices	পৃষ্ঠপোষকতা
aural	কর্ণ-সম্বনধীয়
aura	দেহজ্যোতি
aunt	মাসী
August	অগাস্ট
augment	বৃদ্ধি
Aug.	আ
auditorium	শ্রোতৃমণ্ডলীর জন্য নির্দিষ্ট স্থান
auditor	নিরীক্ষক
audition	শ্রুতি
audit	নিরীক্ষা
audiovisual	শ্রবণ ত্ত দর্শন একই সঙ্গে হয় এমন
audio	অডিও
audience	পাঠকবর্গ
audibly	চেঁচিয়ে
audible	শ্রাব্য
audacity	স্পর্ধা
audacious	স্পর্ধিত
auctioneer	নিলামদার
auction	নিলাম
auburn	পিঙ্গল
atty.	বলতাম কিছু দিনের মধ্যেই .
attuned	attuned
attribution	অধ্যাস
attribute	গুণ
attributable	বিশেষণীয়
attractiveness	চটক
attractively	attractively
attractive	আকর্ষণীয়
attraction	আকর্ষণ
attract	আকর্ষণ করা
attorney general	মহাব্যবহারদেশক
attorney	অ্যাটর্নি
attitude	মনোভাব
