hers	----
herself	নিজেকে
heron	সারসজাতীয় পাখিবিশেষ
herpes	(চিকিৎসাশাস্ত্র) ভাইরাসজনিত চর্মরোগবিশেষ
Herr	জার্মান ভদ্রলোক, Mr. এর তুল্যমূল্য
herring	সামুদ্রিক মৎস্যবিশেষ
heroin	আফিমের নির্যাস থেকে প্রস্তুত মাদকদ্রব্যবিশেষ, যা চিকিৎসার প্রয়োজনে নিদ্রাকর্ষণ বা বেদনা উপশমের জন্য ব্যবহৃত হয়, কিংবা নেশার জন্য মাদকাসক্তরা ব্যবহার করে
heroic	বীরোচিত
hermetic	সম্পূর্ণরূপে বাতাভেদ্য
hermit	নির্জনবাসী ব্যক্তি
hernia	ভঙ্গ বা স্কোটর, বিশেষত উদরের মাংসল দেওয়ালের কোনো দুর্বল অংশের ভিতর দিয়ে অন্ত্রের অংশবিশেষ প্ৰসারিত হওয়ার ফলে সৃষ্ট ভঙ্গ
hero	বীর
hermaphrodite	একাধারে স্ত্রী ও পুংলিঙ্গ কিংবা বৈশিষ্ট্যসংবলিত প্রাণী, যেমন কেঁচো
hermeneutics	ধর্মতত্ত্বের সেই শাখা যা পুস্তক ব্যাখ্যার নীতিমালা নির্দেশ করে
heritable	উত্তরাধিকার/উত্তরাধিকারসূত্রে পাওয়ার যোগ্য
heritage	উত্তরাধিকার
heresy	উৎপথ
heredity	প্রাণীর নিজ বৈশিষ্ট্যাবলি সন্তানসন্ততির মধ্যে সঞ্চারিত করার প্রবণতা
hereditary	পরম্পরাগত
hereditament	উত্তরাধিকারসূত্রে প্রাপ্তব্য সম্পত্তি
here	এখানে
herd	(বিশেষত গবাদিপশুর) দল
herculean	গ্রিকপুরাণোক্ত মহাবীর হারকিউলিসসংক্রান্ত কিংবা তার সদৃশ
herbarium	সংরক্ষিত শুষ্ক উদ্ভিদের সংগ্রহশালা
herbaceous	হরীতকী
herb	অনুচ্চ
herald	রাজদূত
her	স্ত্রীবাচক তাকে-তাঁকে
heptagon	সপ্তভুজ
hepatitis	যকৃৎপ্রদাহ
henna	মেহেদি
hep	----
hepatic	যকৃৎ সম্বন্ধীয়
hence	এখান থেকে
henchman	হুকুমবরদার
hena	মেহেদি
hen	মুরগি
hemstitch	অলংকরণমূলক সেলাইরীতি; রুমাল, তোয়ালে, স্কার্ট, গাউন ইত্যাদির প্রান্তভাগের কিছু সুতা বের করে নিয়ে টানা সুতাগুলি গুচ্ছবদ্ধ করে সেলাইকরণ
hemp	শণজাতীয় উদ্ভিদের ফুল, বীজ ও আঠা থেকে প্রাপ্ত মাদকদ্রব্য
hemorrhage	রক্তক্ষরণ
hemorrhoids	অর্শরোগ
hemophilia	রক্তক্ষরণপ্ৰবণতা
hemoglobin	রক্তের লোহিতকণিকায় বিদ্যমান পদার্থবিশেষ
hemlock	সূক্ষ্মবিভক্ত পত্র এবং ক্ষুদ্র সাদা পুষ্পবিশিষ্ট উদ্ভিদ এবং এই উদ্ভিজ্জাত বিষ
hemistich	কবিতার একটি ছত্রের অর্ধাংশ
hemisphere	গোলার্ধ
hematite	লোহিতাশ্ম
hem 2	সন্দেহ বা বিদ্রূপ প্রকাশ কিংবা মনোযোগ আকর্ষণের জন্য ব্যবহৃত ধ্বনি
helterskelter	এলোপাতাড়িভাবে
helve	হাতিয়ার, বিশেষত কুড়ালের হাতল
hem 1	কাপড়ের প্রান্ত বা আঁচল
helpline	যে নম্বরে ফোন করলে বিপদআপদ বা বিভিন্ন সমস্যা বা বিষয়ে প্রয়োজনীয় পরামর্শ, সংবাদ বা সাহায্য পাওয়া যায়
helpmate	উপকারী সহবর্তী বা সহচর
help 2	সাহায্য/সহায়তা
help 1	সাহায্য
helm 2	(পুরাতনী) শিরস্ত্রাণ
helmet	শিরস্ত্র
hellow	সম্ভাষণে
helm 1	হাল
abdomen 	শরীরের যে অংশে পাকস্থলী ও অন্ত্রাদি অবস্থিত
Hellene	গ্রিক নাগরিক
abdicate 	ছেড়ে দেওয়া
he’ll	জোরালো বা আদ্য রূপ; হীল; মধ্যবর্তী দুর্বল রূপ প্রায়ই: ঈল্
hell	নরক
helix	একটি কেন্দ্রবিন্দু বা রেখার চারদিকে অগ্রসরমাণ কিংবা ঊর্ধ্বগ অবিচ্ছিন্ন বক্ররেখা
abbreviate 	সংক্ষিপ্ত করা
ABC 	বর্ণমালার A থেকে Z পর্যন্ত বর্ণ।
abbot 	মঠ বা আশ্রমের অধ্যক্ষ (Father Superior)
abbess 	সন্ন্যাসিনীদের আশ্রমের মোহান্ত
abbey    	যে ভবনে সন্ন্যাসী বা সন্ন্যাসিনীরা ঈশ্বরের উপাসনায় নিবেদিত সম্প্রদায় হিসেবে বাস করে
abate	(বাতাস, ঝড়, বন্যা, ব্যথা, জ্বর ইত্যাদি) কম বা কমানো
abattoir	পশুবধস্থান
Abbasid(e) 	আব্বাসের বংশীয়
helium	বর্ণহীন হালকা অদাহ্য গ্যাসবিশেষ (প্রতীক He), যা বেলুন ও আকাশযানে ব্যবহৃত হয়
abash 	বিব্রত/কুণ্ঠিত/অপ্রস্তুত করা
heliport	হেলিকপটারের অবতরণ-উড্ডয়ন ক্ষেত্র
abase 	নিজেকে হীন করা
abandon 2	বেপরোয়া স্বাধীনতা, যেমন প্রবৃত্তির কাছে আত্মসমর্পণকারী ব্যক্তির ক্ষেত্রে দেখা যায়
heliotrope	পুষ্পবিশিষ্ট উদ্ভিদ
abandon1	আর ফিরে না-আসার মানসে চলে/ছেড়ে যাওয়া
abaft	জাহাজের পিছনের অর্ধাংশে অথবা তার কাছাকাছি
helicopter	স্বল্প পরিসরে অবতরণক্ষম এবং বাতাসে স্থিরভাবে অবস্থান করতে সমর্থ, অনুভূমিকভাবে ঘূর্ণায়মান পাখাযুক্ত এক ধরনের বিমান
abacus	গণনাকার্যে ব্যবহারের জন্য আড়াআড়ি তারে ছোট্ট গোলক বা পুঁতি-লাগনো চারকোনা কাঠের কাঠামো
held	----
aback	পিছন দিকে
aba	আরবদের হাতাবিহীন পোশাকবিশেষ
Hejira	৬২২ খ্রিস্টাব্দে হজরত মুহম্মদ (স.) - এর মক্কা থেকে মদিনায় গমন; হিজরত
a 2 	একটি
heirloom	পৈত্রধন
heighten	বড়ো বা বাড়ানো
heinous	জঘন্য
heir	উত্তরাধিকারী
height	উচ্চতা
A1	(জাহাজ) প্রথম শ্রেণি বলে শ্রেণিভুক্ত; সর্বোৎকৃষ্ট।
heifer	বকনা বাছুর
heighho	হতাশা, ক্লান্তি ইত্যাদি সূচক অব্যয়
Hegira, Hejira	৬২২ খ্রিস্টাব্দে হজরত মুহম্মদ (স.) - এর মক্কা থেকে মদিনায় গমন; হিজরত
heel 2	(জাহাজ) কাত হওয়া বা করা
hefty	তাগড়া
hegemony	কর্তৃত্ব ও প্রভাব
heehaw	অট্টহাসি
heel 1	মানুষের পা, মোজা, জুতার পশ্চাদ্ভাগ
hedgehog	সজারু
hedonism	সুখ বা প্রীতিই পরমার্থ-এই বিশ্বাস
heed	মনোযোগ দেওয়া
hedge	 মাঠ, বাগান ইত্যাদির সীমানানির্দেশক ঝোপ, গুল্ম বা (সাধারণত উপরের দিক সমান করে কাটা) দীর্ঘতরুর সারি
hecto-	(অন্য শব্দের যোগে) শত: hectic –Gram (me). ১০০ গ্রাম
hector	তর্জনগর্জন করা
he’d	জোরালো বা আদ্যরূপ: হীড, মধ্যবর্তী দুর্বল রূপ ঈড্‌
hectic	অস্বাভাবিক
hectare	মেট্রিক পদ্ধতিতে ১০,০০০ বর্গমিটার আয়তন (= ২.8৭১ একর) হেক্টর
heckle	জনসভায় বক্তাকে বারবার থামিয়ে দিয়ে তাকে নানা কূটপ্ৰশ্নে জর্জরিত করা
Hebraic	ইহুদি
Hebrew	হিব্রু; ইসরাইলি
heavy	ভারী
heavenly	স্বর্গীয়
Heaviside layer	----
heaven	স্বর্গ
heave	উত্তোলন করা
heather	স্কটল্যান্ডের সর্বত্র সহজলভ্য এই গুল্মের ফুলের রং হালকা গোলাপি বা সাদা
heat	গরম/উত্তপ্ত করা বা হওয়া
heath	ঘন লাল, গোলাপি বা সাদা ঘণ্টাকৃতি ছোট ছোট ফুলবিশিষ্ট এক ধরনের চিরহরিৎ গুল্ম
heathen	পৌত্তলিক
heartily	সানন্দে
hearty	অকপট
heat 1	তাপ
hearten	উৎসাহ দেওয়া
hearth	ঘর গরম রাখার জন্য মেঝের যে অংশে অগ্নিকুণ্ড থাকে
hearsay	জনশ্রুতি
hearse	শব বহনের গাড়ি
Heart	হৃৎপিণ্ড 
hearken	(পুরাতনী) কর্ণপাত/শ্রবণ করা
hearing	শ্রবণ
hear	শোনা
heap	রাশি
health	স্বাস্থ্য
healthy	স্বাস্থ্যবান
headstrong	একগুয়ে
heady	হঠকারী
heal	নিরাময় হওয়া/করা
header	অধোমুখ লম্ফ
heading	শিরোনামা
headlong	অধোমুখে
head 2	পুরোভাগে বা শীর্ষে থাকা
head 1	মস্তক
he	সে, তিনি (পুরুষ)
hazy	কুয়াশাচ্ছন্ন
H-bomb	হাইড্রোজেন বোমা
HD	এটি ইংরেজি high definition-এর সংক্ষেপ। যেমন কিছু চ্যানেল এইচডি ছবি, এইচডি ভিডিও আর এইচডি ডিভিডি দেখায়। তবে এইচডি দিয়ে হাইয়ার ডিপ্লোমা (শিক্ষায়)
haycation	খামারবাড়িতে অবসরযাপন
hazard	ঝুঁকি
haze 1	পাতলা কুয়াশা
haze 2	উৎপীড়ন বা নির্যাতন করা
hazel	ভোজ্য বাদামসংবলিত এক প্রকার ঝাড়গাছ
hay	খড়
hawthorn	প্রায়ই বেড়া দেওয়ার কাজে ব্যবহৃত কাঁটাগাছবিশেষ
haw 1	বৈঁচিজাতীয় ফল
hawk 1	বাজপাখি
hawk 2	ফেরি করা
hawser	ভারী, মোটা রশি বা দড়ি
havoc	ব্যাপক ক্ষয়ক্ষতি
havildar	সুবেদারের নিচে সেনাবাহিনীর সৈনিকের পদবিশেষ
have 5	ধনী-নির্ধন
haven	পোতাশ্রয়
haven’t	----
haversack	খাদ্য ইত্যাদি বহনের জন্য সৈনিক, পর্যটক প্ৰভৃতি কর্তৃক ব্যবহৃত ক্যাম্বিস কাপড়ের ঝোলা বা ব্যাগ
have 4	(খাবার বা পানীয় হিসেবে) গ্রহণ করা
have 3	----
have 2	‘be’ ক্রিয়া ব্যবহার করে পুনর্গঠিত করা যায় এমন সব বাক্যে ব্যবহৃত
hauteur	ঔদ্ধত্য
Havana	কিউবার তৈরি চুরুট
have 1	‘I, we, you, they -এর পর সাধারণত রূপ
haunt	অভ্যাসগতভাবে কিংবা হরহামেশা কোথাও যাতায়াত করা
haunch	মানব বা প্রাণিদেহের পশ্চাদ্দেশ
haulm	শিম; কড়াই, মটর, আলু প্রভৃতির পরিত্যক্ত ডাঁটা
haulage	পরিবহন
haulier	ট্রাকযোগে মাল পরিবহনে নিয়োজিত ব্যক্তি বা প্রতিষ্ঠান
hath	----
hatred	ঘৃণা
hatter	সাধারণত কিনারাওয়ালা বাইরে পরার টুপি
haughty	উদ্ধত
haul	সবলে টানা
hater	সোশ্যাল নেটওয়ার্কিং অ্যাপ যা কোনো ব্যক্তি বা গ্রুপকে তাদের অপছন্দ বা অননুমোদনসূচক মনোভাবের প্রকাশ ঘটাতে সহায়তা দেয়। এটা চূড়ান্ত অর্থে ঘৃণা নয়
hateful	ঘৃণ্য
hatch 3	সমান্তরাল রেখা দ্বারা অঙ্কন করা বা খোদাই করা
hatch back	এক ধরনের মোটর গাড়ি
hatchet	হালকা ছোট কুড়াল
hate	ঘৃণা করা
hatch 2	ডিমে তা দেওয়া
hatch 1	দরজা বা মেঝের ফাঁক
hat 2	গ্রামাঞ্চলের এমন বাজার যা সপ্তাহের নির্দিষ্ট দিনে বসে
hat 1	সাধারণত কিনারাওয়ালা বাইরে পরার টুপি
hasty	ত্বরিত
hasten	দ্রুত চলা বা করা
hassock	নতজানু অবস্থায় হাঁটু রাখার জন্য গদি
haste	দ্রুততা
hassle	অসুবিধা
hasn’t	----
hasp	দরজা, জানালা ইত্যাদির কড়া বা আংটা
hashish	গাঁজা
hashtag	যখন একটি পূর্ণ শব্দ বা বাক্যকে কোনো স্পেস ছাড়া লিখে এর শুরুতে একটি #-কে যুক্ত করা হয় তখন একে hashtag বলে। hashtag-এর ফলে ওই শব্দটি বা স্পেসবিহীন পুরো বাক্যটি #'সহ অন্য সব শব্দ থেকে উজ্জ্বল হয়ে যায়৷ এর ফলে এটি সহজেই পাঠকের চোখে পড়ে।
has	----
hasbeen	যে ব্যক্তি বা বস্তু তার আগেকার উৎকর্ষ হারিয়ে ফেলেছে
hash	কুচিকুচি করে কাটা
harum-scarum	বেপরোয়া 
harvest	 ফসল কাটা ও ঘরে তোলার কাজ
hart	প্রাপ্তবয়স্ক (বিশেষত লাল রং) পুরুষ হরিণ
hartal	হরতাল
harsh	রূঢ়
harry	বিধ্বস্ত করা ও লুণ্ঠন করা
harrow	জমিতে দেওয়ার মই
harpy	অত্যন্ত নিষ্ঠুর
harridan	জীর্ণদেহ খিটখিটে বৃদ্ধা
harrier	খরগোশ শিকারে ব্যবহৃত শিকারি কুকুর
harpsichord	ষোড়শ থেকে অষ্টাদশ শতক পর্যন্ত ব্যবহৃত পিয়ানোসদৃশ বাদ্যযন্ত্র
harpoon	তিমি ও অন্যান্য বড় সামুদ্রিক প্রাণী শিকারের জন্য এক জাতের দড়ি-বাঁধা বর্শা
harp	বাদ্যযন্ত্রবিশেষ
harmony	সাদৃশ্য
harness	ঘোড়াকে গাড়ির সঙ্গে জুড়ে দেওয়ার ও তাকে নিয়ন্ত্রণ করার যাবতীয় সরঞ্জাম
harmonium	বাদ্যযন্ত্রবিশেষ
harmonize, harmonise	 সমন্বয়সাধন করা
harmonious	সুদৃশ্যভাবে সাজানো
harmonic	ঐকতান
harmonica	বাদ্যযন্ত্রবিশেষের নাম
harmattan	পশ্চিম আফ্রিকায় ডিসেম্বর থেকে মার্চ মাস পর্যন্ত প্রবাহিত শুকনো হিমেল উত্তুরে বাতাস
harlot	বেশ্যা
harm	ক্ষতি
harlequin	ইতালীয় কমেডিতে আবির্ভূত চরিত্র
harem	হারেম
haricot	শিম, বরবটি প্রভৃতি
harijan	 হিন্দু সমাজের অস্পৃশ্য সম্প্রদায়কে বোঝাতে মহাত্মা গান্ধি প্রদত্ত নাম
hark	শোনা
hare	খরগোশ
hardy	শক্ত
hardware	(সাধারণত কম্পিউটার) হার্ডওয়্যার হলো সেই সব অংশ যা দৃশ্যত এবং ছোঁয়া যায়, যার কাঠামো আছে। যেমন মনিটর, মাউস, কেসিং, মাদারবোর্ড ইত্যাদি
hardship	কষ্টকর পরিস্থিতি
hamster	ধেড়ে ইঁদুরের মতো প্রাণী
hamstring	হাঁটুর পিছন দিকের পেশিতন্তু কেটে খোঁড়া করে দেওয়া
hand 1	হাত
hardihood	সাহসিকতা
hardly	নামেমাত্র
hard copy	কম্পিউটার থেকে কাগজে বা প্লাস্টিকে প্রিন্ট দেওয়া কপি
harden	শক্ত, মজবুত, কষ্টসহিষ্ণু ইত্যাদি করা বা হওয়া
hard 2	সব শক্তি প্রয়োগ করে
hard	শক্ত
harbinger	অগ্রদূত
harbour	পোতাশ্রয়
harangue	লম্বা-চওড়া কথা
harass	হয়রান বা নাজেহাল করা
happy	ভাগ্যবান
hara-kiri	নিজের পেট চিরে আত্মহত্যা-অতীতে জাপানি সামুরাই যোদ্ধা কর্তব্যপালনে নিজেকে ব্যর্থ মনে করলে এভাবে আত্মহত্যা করত
happen	সংঘটিত হওয়া
hapless	দুর্ভাগা
ha’p’orth	----
haphazard	বিশৃঙ্খল
hansom	এতে চালকের আসন গাড়ির ছাদ বরাবর পিছন দিকে থাকে এবং লাগাম ছাদের উপর দিয়ে যায়
hanky	রুমাল
hanky-panky	অসদুপায়
Hansard	পার্লামেন্টের কার্যবিবরণী
hank	সুতার ফেটি
hanker	কোনোকিছুর জন্য অত্যন্ত লালায়িত হওয়া
hangnail	হাতের নখের গোড়ায় চামড়ার ছাল
hanging	ফাঁসিতে মৃত্
hangar	বিমানঘর
hanger	যে বস্তুতে কোনোকিছু টাঙিয়ে রাখা হয়
hallelujah	ঈশ্বরের উদ্দেশ্যে প্রশস্তি বা স্তব
halliard	পাল বা পতাকা টাঙানো বা নামানো দড়ি
hallmark	অলংকারাদিতে ব্যবহৃত সোনা ও রূপার গুণগত মান নির্দেশক ছাপ
hallo	দৃষ্টি আকর্ষণে
halloo	শিকারি কুকুরকে শিকারের পিছনে লেলিয়ে দেওয়ার জন্য করা চিৎকার
hallow 1	পবিত্র করা
hallow 2	----
hallowe’en	৩১ অক্টোবর All Saints’ Day বা All Hallows’ Day-এর প্রাক্কাল
hallucinate	যা চোখের সামনে নেই তা দেখা
